SampleID,SOC (%),Catch,Conv,Elev,DevME A,DevME B,DevME C,DevME D,DiffME A,DiffME B,DiffME C,DiffME D,EDF MID,EDF NE,EDF NW,EDF SE,EDF SW,EDF E,EDF N,Gcurv,Hillshade,LS,MDM A,MDM B,MDM C,MDMS A,MDMS B,MDMS C,MED A,MED B,MED C,MEDS A,MEDS B,MEDS C,MRRTF,MRVBF,MSP,MSTPI,NormH,Plan,Pro,RSP,SLength,SlopeH,Slope,SPI,StanH,SVF,SWI,TCurv,TPI,TRI,TWI,VDepth,VIS,NDVI_max,NDVI_median,NDVI_sd,X (DD),Y (DD)
11,3.43,8493.053711,-1.70297575,397.9360352,0.04862351,0.02230522,-0.393555015,-1.219342113,0.015123967,0.01090703,-0.716170371,-5.786599636,232.8357849,1579.307617,1595.058716,1250.684814,1270.516602,987.5,1232.5,0.000327148,0.707633734,0.300299466,-0.15078418,-3.560222626,-8.172451973,19,59,199,-0.167806476,-0.829508603,-1.703369141,19,59,199,0.379056454,7.929011822,0.772474825,0.083461329,0.113762595,-0.019457996,0.000550557,0.013155746,227.2793274,0.93981427,0.019902289,169.0535278,394.1544495,0.999019265,9.965163231,5.30E-07,-0.06665469,0.062951513,12.9637928,7.321374416,98.41586304,0.936025858,0.581450343,0.268559773,-80.267544,43.708607
12,3.44,270.8822632,1.914106607,397.9393616,0.103153333,0.071415782,-0.407930583,-1.232013345,0.039338842,0.036326531,-0.737344801,-5.789798737,213.687851,1557.453857,1586.083984,1255.253906,1290.605469,977.5,1212.5,0.001357422,0.676741779,0.297244906,-0.160835519,-3.579995394,-8.194123268,19,59,199,-0.179244697,-0.839036405,-1.70392704,19,59,199,1.080081582,7.926687241,0.777705133,0.185354114,0.111147448,0.005399342,0.000520243,0.01625804,27.07106781,0.771408439,0.029217672,7.916801929,394.1436768,0.998804808,10.3210907,8.06E-07,-0.070968248,0.092549495,9.134381294,6.168997765,98.36204529,0.924437284,0.640336156,0.220392307,-80.267374,43.708763
13,3.23,119.0963974,2.865252733,398.230011,0.33138144,0.400625348,-0.306384265,-1.174404025,0.132231399,0.211156458,-0.598102689,-5.489848137,205.9429474,1540.263794,1588.210449,1249.964966,1308.591797,962.5,1202.5,0.002863769,0.677191079,0.278800517,0.20603773,-3.292398214,-7.914446354,10,59,199,0.400451571,-0.784020424,-1.641676068,9,59,199,1.633295178,7.918546677,0.761522174,0.573250115,0.119238913,0.012824228,0.001053253,0.029379152,22.07106781,0.779029906,0.029409586,3.503585815,394.2128906,0.998864651,10.55895138,1.67E-06,0.077739708,0.093379647,8.306079865,5.754323006,98.38509369,0.921247542,0.621272385,0.213464263,-80.26722,43.70886
14,3.38,101.8996735,1.211698651,398.4047546,0.412541628,0.497525364,-0.274066836,-1.146547675,0.158925623,0.271088421,-0.566044092,-5.314100266,194.711319,1519.181519,1586.793091,1248.163696,1329.628662,947.5,1187.5,0.003442383,0.679455817,0.259545863,0.270861208,-3.119138479,-7.757782936,10,59,199,0.513943732,-0.756499112,-1.604471564,9,59,199,2.434238672,7.910875797,0.747856259,0.71736294,0.126071855,0.007806026,0.001507098,0.034585558,14.14213562,0.851036072,0.027205506,2.772916317,394.2660828,0.998917222,10.65358257,2.33E-06,0.133399397,0.086616024,8.228077888,5.899368763,98.42345428,0.925477147,0.618463039,0.230529959,-80.267013,43.709006
15,4.09,225.5618134,-0.406867772,398.3862915,0.328298777,0.36049369,-0.305020243,-1.15943563,0.121652894,0.198888883,-0.633477569,-5.32648468,183.4734344,1501.220337,1582.296631,1250.464966,1346.7229,937.5,1172.5,0.002790527,0.678697348,0.275044352,0.200257808,-3.13743639,-7.795395851,10,59,199,0.391022265,-0.771292627,-1.608218551,8,59,199,1.778121829,7.909041882,0.745570481,0.550845206,0.12721476,0.001923174,0.001341716,0.028267978,21.21320343,0.854417324,0.027069258,6.107282639,394.2691345,0.998880029,10.12663555,1.86E-06,0.069778889,0.086056352,9.027706146,5.861920357,98.37825775,0.927888155,0.614608467,0.247275952,-80.266881,43.709136
16,4.28,1430.418579,-1.264069319,398.4512634,0.29370296,0.246105969,-0.321807325,-1.153196931,0.089586779,0.134172335,-0.687350154,-5.246133327,175.5348969,1480.139404,1581.395752,1249.324829,1367.776489,922.5,1157.5,0.001921387,0.705978334,0.253780544,0.132332087,-3.06911993,-7.748308659,9,59,199,0.299784899,-0.769416153,-1.59292984,7,59,199,0.918193102,7.900577545,0.740145206,0.397758812,0.129927412,-0.005498672,0.001070914,0.021136513,230.0610504,0.901360214,0.020160932,28.84247971,394.2903748,0.999039888,9.61538887,1.18E-06,0.001601093,0.064064816,11.16959572,6.036053658,98.40712738,0.920068026,0.708374023,0.185737444,-80.266718,43.709256
17,4.22,1939.67627,-0.9201442,398.4124451,0.181541026,0.17126447,-0.34833774,-1.173560739,0.055289257,0.088956915,-0.717000782,-5.277002811,162.9800568,1458.273804,1573.709839,1255.612427,1388.006714,912.5,1137.5,0.000927734,0.705420673,0.274671465,-0.156299442,-3.102448702,-7.813333511,19,59,199,0.202666223,-0.789280295,-1.600677609,7,59,199,0.483055174,7.903058529,0.728846729,0.255337536,0.135576636,-0.007142975,0.00061571,0.014879088,167.2792358,0.887753189,0.0213132,41.3469696,394.3121338,0.999070823,9.600084305,4.05E-07,-0.048184413,0.067500107,11.41855335,5.660227299,98.46382141,0.897752523,0.765318632,0.142765127,-80.266581,43.709447
18,3.49,1379.276733,0.874770939,398.4748535,0.21617873,0.210995972,-0.338436186,-1.168902278,0.066033058,0.107097507,-0.696474075,-5.210482597,156.564682,1440.316772,1569.876587,1258.77417,1405.173462,902.5,1122.5,0.001311035,0.709491014,0.25548318,-0.130967826,-3.024332285,-7.769418716,19,59,199,0.247317299,-0.781947136,-1.58673203,7,59,199,1.24689436,7.902361393,0.713940799,0.303938359,0.143029615,0.005064456,0.000551875,0.01534158,227.6345978,0.914523721,0.020393793,28.13258362,394.3564148,0.999111354,9.598443985,3.20E-07,-0.029739125,0.064615853,11.12170029,5.479423046,98.49711609,0.910321474,0.708254337,0.186721244,-80.266449,43.709588
19,3.51,1043.225708,0.175417364,398.4606018,0.153844193,0.152752206,-0.352282912,-1.183060408,0.050413225,0.077120185,-0.710816979,-5.216924191,148.5345154,1418.471924,1562.709961,1265.726074,1425.504272,892.5,1102.5,0.000847168,0.701465607,0.263612181,-0.13924171,-2.995316267,-7.809142113,19,59,199,0.163127974,-0.792972624,-1.588921905,8,59,199,0.837877572,7.904923916,0.719304562,0.204134718,0.140347719,0.000189403,0.000419159,0.01197753,239.7056885,0.916548073,0.021785555,22.73084831,394.3415222,0.999055505,9.728189468,1.79E-07,-0.042785063,0.06894742,10.7764225,5.614004135,98.4966507,0.921335995,0.715495348,0.177444701,-80.266339,43.709746
20,3.52,521.5321655,-0.318417937,398.4901733,0.091469161,0.09233439,-0.358126432,-1.185639501,0.02983471,0.046734694,-0.717428088,-5.184595585,146.5008545,1400.522217,1559.314697,1269.43396,1442.727417,882.5,1087.5,0.000478516,0.702853858,0.247686505,-0.147463083,-2.917416096,-7.796710968,19,59,199,-0.141914845,-0.791510463,-1.581349134,19,59,199,0.81604439,7.904107094,0.72809726,0.108206689,0.13595137,-0.002642473,0.000296651,0.00872237,56.21320343,0.925081968,0.021796176,11.36920738,394.3244629,0.999032915,9.98639679,9.18E-08,-0.054800879,0.068957053,10.08263302,5.879424095,98.49008942,0.910077512,0.676336765,0.177514994,-80.266228,43.709881
21,4.93,313.2495422,-0.458576083,398.5346985,0.054356083,0.046563953,-0.35960272,-1.18599999,0.01677686,0.023537414,-0.70598495,-5.144376278,146.671402,1382.574585,1556.120972,1273.38623,1459.970093,872.5,1072.5,0.000358887,0.708333552,0.225178599,-0.144712195,-2.818711996,-7.768744946,19,59,199,-0.143338323,-0.786675274,-1.570583582,19,59,199,0.797557294,7.903135777,0.741550982,0.072949529,0.129224509,0.00037262,0.000171735,0.006335815,204.3503113,0.952815533,0.020397145,6.390282631,394.2977905,0.999043822,10.27131653,7.07E-08,-0.057158139,0.06454429,9.639222145,6.420518875,98.48770905,0.927901208,0.564794838,0.22968528,-80.266099,43.710038
22,5.13,616.1322632,-0.597983599,398.4519348,0.040167626,-0.037124265,-0.400378764,-1.216711402,0.010743801,-0.018480726,-0.718441308,-5.236254692,142.5219269,1363.932739,1546.063599,1284.644897,1476.588135,867.5,1052.5,0.000393066,0.723613441,0.19822517,-0.169482067,-2.831044436,-7.878444195,19,59,199,-0.189336255,-0.816412389,-1.587675095,19,59,199,0.76537025,7.906258583,0.77498728,0.027750021,0.112506352,0.003915551,0.000132412,0.002586822,49.49747467,1.002962708,0.016360981,10.08142757,394.2071533,0.999061763,10.1625843,1.57E-07,-0.097101644,0.051817473,10.53622818,7.911757946,98.40023804,0.920346022,0.568502307,0.24507505,-80.265986,43.710196
23,4.96,46220.67188,-2.905505657,398.4666138,-0.031997688,-0.083654024,-0.421102762,-1.227251887,-0.007190083,-0.039433107,-0.709400713,-5.239647865,146.1591644,1342.148438,1539.922852,1292.81189,1497.118042,857.5,1032.5,-7.57E-05,0.741616666,0.226786256,-0.1774607,-2.754412174,-7.887382507,19,59,199,-0.212787017,-0.827689528,-1.583097219,19,59,199,0.369446576,7.905375957,0.803342462,-0.037286945,0.098328754,-0.020360462,0.000223705,0.000569762,216.5685425,1.019281864,0.012847854,593.8691406,394.1407776,0.999070883,9.874342918,1.30E-07,-0.117108062,0.040679764,15.09570599,9.34677887,98.32241058,0.925505519,0.568541408,0.236630382,-80.265879,43.710376
24,5.26,17112.32617,0.989402533,398.5823669,0.105254918,0.042685892,-0.38270998,-1.208485961,0.022644628,0.018866213,-0.608914256,-5.130635262,153.5008087,1324.221436,1537.388184,1297.521729,1514.451172,847.5,1017.5,0.000600586,0.747334898,0.222655937,-0.112267531,-2.602107286,-7.787678719,19,59,199,-0.139194638,-0.808027506,-1.557822943,19,59,199,1.145012617,7.903411865,0.818610966,0.070804998,0.090694509,0.006110754,0.000216295,0.002507604,70,0.965741813,0.013735106,235.0543976,394.1146545,0.999123156,9.784890175,8.82E-08,-0.0564817,0.043475624,14.03529167,9.682552338,98.33146667,0.925731182,0.550145805,0.250977949,-80.265782,43.710531
25,5.18,5869.347168,0.613024116,398.6308594,0.173336685,0.194297776,-0.3624852,-1.207400441,0.037190083,0.080952384,-0.516592324,-5.109872341,157.5198364,1305.684692,1528.009277,1309.508545,1531.278076,842.5,997.5,0.000654297,0.744977176,0.190405607,0.077081688,-2.518305063,-7.763062,11,59,198,0.192752331,-0.806040108,-1.553466201,8,59,191,0.792054415,7.901959896,0.837422729,0.154879928,0.081288636,0.005131877,0.000261547,0.00258245,30,0.843100786,0.012769915,74.95513916,394.0723877,0.999235213,9.749164581,1.06E-07,0.009916537,0.040451966,13.03810787,9.52859211,98.47676086,0.925898612,0.709803939,0.178435134,-80.265716,43.710706
26,4.65,6162.55127,-0.665006101,398.6408691,0.158062488,0.195307642,-0.369588315,-1.213845849,0.030165289,0.079410434,-0.474310666,-5.133366585,164.050293,1287.211182,1518.852417,1321.70813,1548.196533,837.5,977.5,0.000302734,0.754623234,0.142892599,0.078753814,-2.493288994,-7.763689041,11,59,199,0.185874,-0.818224251,-1.562293768,9,59,194,1.190249801,7.899487495,0.823287785,0.135461763,0.088356115,-0.00075431,0.000158256,0.000538031,50.35533905,0.892975867,0.009158526,56.44146347,394.1083374,0.999382138,9.787144661,7.53E-08,0.026613198,0.029018933,13.41928864,9.213578224,98.61071014,0.93425858,0.653809726,0.211606585,-80.265633,43.710889
27,4.97,12177.19531,-0.767083466,398.6404114,0.185605273,0.154402375,-0.388651788,-1.221296549,0.030578513,0.060204081,-0.44965601,-5.169845104,172.8076935,1268.803589,1509.921387,1334.114868,1565.203613,832.5,957.5,0.000437012,0.761306703,0.118166715,0.056473959,-2.50012207,-7.771164894,11,59,199,0.161614642,-0.836307168,-1.571907282,6,59,190,1.008669972,7.896377087,0.802729666,0.127103731,0.098635167,-0.002631622,0.000236781,0.000549986,243.1371765,0.926799059,0.006950724,84.64168549,394.1593933,0.999469399,9.803819656,6.18E-08,0.017752782,0.022066919,14.37621403,8.469434738,98.68913269,0.922396183,0.778374076,0.144209935,-80.265543,43.711066
28,4.14,7929.257324,-1.476096869,398.6830139,0.034332789,0.045739632,-0.406347483,-1.218674064,0.005289256,0.016757369,-0.430827737,-5.160416126,188.1820984,1247.161743,1505.128784,1343.656372,1586.005249,822.5,937.5,0.000114746,0.766766787,0.114806898,-0.055602547,-2.482534885,-7.726753712,19,59,199,-0.0855508,-0.845217049,-1.570094824,19,59,186,0.507582247,7.892570496,0.79487747,0.025952624,0.10256128,-0.007795614,0.00011104,0,432.9900513,0.898304641,0.006885112,54.5946846,394.1832886,0.99948293,9.796294212,9.09E-08,-0.013471338,0.021801015,13.9566927,7.860406876,98.69702148,0.915401757,0.717187703,0.156046504,-80.265464,43.711214
29,3.9,552.3137817,1.038831949,398.7900085,0.06505511,0.096618868,-0.361734301,-1.197367072,0.011404959,0.03564626,-0.383708686,-5.069828987,202.885437,1229.293457,1503.716187,1349.504517,1603.484497,812.5,922.5,7.32E-05,0.768385947,0.13362588,0.038218807,-2.408280611,-7.61387825,13,59,199,0.086005852,-0.826572895,-1.55240941,11,59,183,1.65725708,7.889246464,0.790862501,0.043885883,0.104568757,0.013357797,-9.68E-05,0.004152386,5,0.84465456,0.009986147,5.5156703,394.2045288,0.999499977,10.18386269,9.07E-08,0.007261241,0.03158126,10.92063904,7.232849598,98.72138977,0.925403833,0.66440326,0.20981693,-80.265343,43.711368
30,4.19,209.1897888,4.064800739,398.9035645,0.262809902,0.318530887,-0.301878065,-1.17725265,0.058099173,0.128548756,-0.334213912,-5.000820637,215.7834625,1211.01709,1495.51416,1362.557373,1620.667358,807.5,902.5,0.001032715,0.753771186,0.154212207,0.137640819,-2.360948324,-7.499295235,12,59,199,0.315188825,-0.8004632,-1.537210107,9,59,180,2.572654486,7.884662151,0.763401806,0.270539522,0.118299104,0.027439455,0.000161722,0.017800946,90,0.860013187,0.01292211,2.703323841,394.288269,0.999475777,10.60082245,2.16E-07,0.097810999,0.040972307,9.692001343,6.409806728,98.72096252,0.927730083,0.632464051,0.203762303,-80.265242,43.711554
31,4.2,189.5558929,3.911027908,399.0932007,0.334667414,0.375291973,-0.229018122,-1.135295868,0.071570247,0.162176877,-0.275831759,-4.819389343,236.0349579,1189.837158,1498.57019,1365.910889,1641.862549,792.5,887.5,0.00114502,0.748847127,0.144736946,0.172320262,-2.2421422,-7.296286106,12,59,199,0.379427314,-0.753299952,-1.497853756,8,59,184,2.672466993,7.88049221,0.714670897,0.338789284,0.142664537,0.023530265,0.000291489,0.027061157,45,0.963144064,0.01193975,2.263357639,394.4428711,0.999476969,10.4861021,1.95E-07,0.146900669,0.037894662,9.67251873,5.787966251,98.71859741,0.92188555,0.744198024,0.178031676,-80.265094,43.711674
32,3.51,219.1859741,2.573827982,399.1599121,0.288196445,0.28387621,-0.245889187,-1.124358416,0.063471071,0.134104311,-0.316248327,-4.778081417,252.1160431,1171.990845,1497.852661,1372.429443,1659.38623,782.5,872.5,0.001208496,0.743362129,0.139821395,0.144329444,-2.262992144,-7.220448017,12,59,199,0.328849763,-0.743055761,-1.486520171,7,59,187,2.690502167,7.87742281,0.6964733,0.3385472,0.15176335,0.016503517,0.000417943,0.030824436,7.07106781,1.026931286,0.011283465,2.473282099,394.5023499,0.999414444,10.41734695,2.13E-07,0.13072592,0.035846334,9.874295235,5.739730835,98.65969086,0.924083769,0.696797132,0.198089964,-80.26496,43.711822
33,3.52,454.9225769,1.011902928,399.1727905,0.246947169,0.165290341,-0.289069265,-1.122946024,0.060826447,0.08546485,-0.393061012,-4.778498173,268.4445801,1154.150146,1497.351807,1379.152832,1676.920532,772.5,857.5,0.001103516,0.740982413,0.145623103,0.084984273,-2.355671883,-7.198617458,9,59,199,0.238820553,-0.750172436,-1.486353993,5,59,189,2.445582867,7.872157097,0.686439276,0.282016098,0.156780362,0.002937024,0.000518354,0.030618943,42.42640686,1.074805379,0.011338815,5.158504009,394.5319214,0.999320507,10.26344395,2.85E-07,0.065722674,0.035990745,10.59960747,5.780679226,98.57175446,0.901794136,0.735637426,0.130080949,-80.264805,43.711963
34,3.52,1284.545532,0.259514779,399.2445984,0.153671652,0.075569883,-0.313109219,-1.109422565,0.042148761,0.041678004,-0.437798977,-4.724185467,289.1582642,1132.966187,1501.203735,1383.333862,1698.120239,757.5,842.5,0.000810547,0.739849746,0.170992255,0.053657632,-2.417191029,-7.111756325,7,59,199,0.151830569,-0.743305385,-1.471421123,5,59,192,2.04200983,7.867322445,0.681475401,0.201760903,0.1592623,-0.008158905,0.000509774,0.031001449,94.49747467,1.0295825,0.012822891,16.47249031,394.5570068,0.999242663,10.14191628,5.78E-07,0.007142303,0.040615182,11.51462841,5.435114384,98.49667358,0.915867746,0.706782699,0.233064822,-80.264629,43.712086
37,3.52,1223.334351,-5.164155006,399.4028015,-0.151556477,-0.115042724,-0.2699821,-1.071342945,-0.03446281,-0.066485263,-0.368132234,-4.533155918,299.2699585,1126.748657,1516.430786,1370.971313,1705.744019,742.5,847.5,-0.000646973,0.760110199,0.130997136,-0.069798313,-2.265862703,-6.934623241,11,59,199,-0.162596852,-0.706625998,-1.428752542,5,59,195,1.207403302,7.866073608,0.641395867,-0.166133717,0.179302067,-0.03287594,-2.05E-05,0.024761751,69.49747467,1.090487957,0.009217164,11.27599239,394.697113,0.99930495,10.01834011,9.43E-08,-0.047102705,0.029247347,11.79599476,4.991360188,98.5086441,0.9228158,0.616260767,0.25119614,-80.264439,43.712011
38,3.29,271.7929077,-1.533454895,399.3726196,-0.254127681,-0.146029055,-0.241601855,-1.074037313,-0.063801654,-0.080725625,-0.329545826,-4.527123451,280.7356262,1148.39563,1519.477661,1359.710449,1684.877563,752.5,867.5,-0.001384277,0.743052542,0.137650877,-0.092198566,-2.157585144,-6.973816395,8,59,199,-0.263569385,-0.701924324,-1.430106282,5,59,192,2.145798922,7.871080399,0.629238725,-0.286400348,0.185380638,-0.008294941,-0.000601674,0.018503413,35.35533905,1.180472016,0.010892683,2.960670948,394.7263794,0.99936384,9.980047226,3.78E-07,-0.021265313,0.034669727,10.12466526,5.187355995,98.57859039,0.943786502,0.615178764,0.286502766,-80.264566,43.711869
39,4.22,184.917038,3.311941147,399.361145,-0.090927131,-0.003010158,-0.193146914,-1.072679758,-0.020413224,-0.001519274,-0.25915882,-4.515895844,264.9764099,1166.281494,1519.938354,1352.853516,1667.396973,762.5,882.5,-0.000493164,0.747495115,0.130405262,0.039448999,-2.068886518,-6.995368004,16,59,199,-0.108611085,-0.692418277,-1.430034399,5,59,189,2.561623573,7.875491142,0.652776778,-0.108305477,0.173611611,0.023261609,-0.000487463,0.019049281,5,1.152210236,0.010358294,1.915493608,394.6572571,0.999441504,10.06846523,2.97E-07,0.053540118,0.032899395,9.789838791,5.484501362,98.63806915,0.945126593,0.646543324,0.301134065,-80.264716,43.711731
40,4.49,193.9039917,3.63403964,399.2391052,0.096585356,0.1378856,-0.19852528,-1.099482179,0.017520661,0.060362812,-0.249911308,-4.632596493,244.9744873,1187.439453,1516.579224,1349.078369,1646.211548,777.5,897.5,0.000449219,0.763973773,0.123520382,0.081660792,-2.085565567,-7.132628441,14,59,199,0.147591859,-0.714880288,-1.45517683,10,59,186,2.588257313,7.880766392,0.704270005,0.087842181,0.147865012,0.020706248,2.64E-05,0.017764634,65,1.04863584,0.009573247,1.856347561,394.4926453,0.999527872,10.27744293,7.08E-08,0.084035337,0.030331556,9.916115761,6.04321003,98.73216248,0.944555044,0.588709652,0.299657855,-80.264853,43.71158
41,4.5,404.85849,0.115503266,399.0621338,0.005495306,0.000589123,-0.272502363,-1.134153485,0.000991735,0.000226757,-0.326557368,-4.773584843,227.9528503,1209.116455,1520.513916,1338.64209,1625.411499,787.5,917.5,-1.95E-05,0.771731257,0.146871179,-0.039069604,-2.179416418,-7.317426205,19,59,199,-0.05075888,-0.760387599,-1.486655116,19,59,182,1.290551543,7.885481834,0.755027115,-0.021625414,0.122486442,-0.001114236,3.12E-06,0.005890927,64.14213562,0.947957635,0.011561968,4.68116951,394.3296204,0.999543786,10.10549927,3.32E-09,-0.020972714,0.036565058,10.46352673,6.79132843,98.77474213,0.94402647,0.570150793,0.298806119,-80.264983,43.711421
